0.50166,-0.10229,-0.41544,-0.41545,-0.40538
0.53975,-0.12819,-0.45782,-0.45766,-0.43968
0.44445,-0.14474,-0.42885,-0.42848,-0.41707
0.41667,-0.16478,-0.43034,-0.43031,-0.4101
0.38316,-0.18265,-0.45493,-0.45532,-0.37891
0.30438,-0.20135,-0.49908,-0.4994,-0.35881
0.1653,-0.22658,-0.50194,-0.50193,-0.32812
0.19315,-0.26924,-0.49096,-0.49097,-0.29488
0.26609,-0.32111,-0.47876,-0.47876,-0.25973
0.29643,-0.36084,-0.47168,-0.47168,-0.23084
0.34415,-0.38125,-0.46786,-0.46786,-0.21625
0.36564,-0.38822,-0.46626,-0.46626,-0.20484
0.40251,-0.38742,-0.46225,-0.46225,-0.20102
0.38991,-0.37961,-0.44809,-0.44809,-0.20811
0.32507,-0.36123,-0.42587,-0.42587,-0.22939
0.27889,-0.33443,-0.40327,-0.40327,-0.23413
0.2541,-0.30189,-0.37517,-0.37517,-0.26838
0.25682,-0.26586,-0.33642,-0.33642,-0.26674
0.27031,-0.2289,-0.29329,-0.29329,-0.23311
0.25123,-0.19351,-0.24812,-0.24812,-0.24865
0.27514,-0.16404,-0.2013,-0.20128,-0.24131
0.29941,-0.14571,-0.17563,-0.17562,-0.23533
0.22522,-0.14056,-0.18785,-0.18784,-0.26334
0.13131,-0.14411,-0.21794,-0.21793,-0.2678
0.095953,-0.14722,-0.24686,-0.24684,-0.25514
0.058448,-0.14022,-0.27797,-0.27797,-0.23242
0.017526,-0.1211,-0.30688,-0.30688,-0.22445
-0.068785,-0.094028,-0.33148,-0.33146,-0.23522
-0.11985,-0.060733,-0.35988,-0.35983,-0.24279
-0.070797,-0.016973,-0.40131,-0.4013,-0.25789
-0.069248,0.03561,-0.43688,-0.43691,-0.26986
-0.053431,0.076185,-0.45561,-0.45564,-0.28288
-0.021361,0.085628,-0.4714,-0.47144,-0.29633
-0.025967,0.070674,-0.47913,-0.47914,-0.29826
-0.030018,0.044797,-0.47511,-0.47511,-0.29081
-0.01034,0.018267,-0.46446,-0.46446,-0.28384
-0.0060087,0.011134,-0.45317,-0.45317,-0.2974
-0.0004501,0.01123,-0.44008,-0.44009,-0.30963
0.016235,0.0077324,-0.43287,-0.43286,-0.30267
0.017686,0.007919,-0.42628,-0.42632,-0.30521
0.027035,0.0084719,-0.38521,-0.38523,-0.31404
0.030419,0.008666,-0.29539,-0.2953,-0.31873
0.043032,0.0065649,-0.16225,-0.16211,-0.31996
0.044023,0.010088,-0.038374,-0.038327,-0.32018
0.058919,0.01885,0.034341,0.034358,-0.31876
0.076388,0.029043,0.067006,0.067031,-0.31541
0.078766,0.034261,0.085681,0.085639,-0.31418
0.08555,0.045146,0.10424,0.10428,-0.32
0.074739,0.057032,0.12012,0.12008,-0.31125
0.062435,0.074388,0.14493,0.14508,-0.31457
0.095316,0.086236,0.16581,0.16564,-0.30758
0.12332,0.10245,0.1992,0.2,-0.32479
